,id,time,text,image_link,image_flag,video_link,video_flag,products,product_flag
30,ASICSamerica_1607484257,2020-12-08,,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/c80.0.687.360a/s526x296/139031073_3817427374976611_7957361971700792349_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=dd9801&_nc_ohc=pBmvjc2M7q0AX-eqyAf&_nc_ht=scontent-iad3-1.xx&tp=28&oh=4452777a57209c17e725254814c4832f&oe=60DD7204'],Yes,,No,[],No
31,ASICSamerica_1606945598,2020-12-02,"Your routine might look different lately, but one thing is constant: your drive to run. The GEL-NIMBUS® 23 shoe is designed to support you mile after mile.",https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQFk7g9ndTUyOcjh&w=600&h=600&url=https%3A%2F%2Fsprcdn-assets.sprinklr.com%2F1171%2F2bc6e048-ffc6-4110-8063-981a1344c62f-515195010.jpg&cfs=1&ccb=3-5&_nc_hash=AQHTkjyVOC2lwYOS,Yes,,No,[],No
32,ASICSamerica_1606588550,2020-11-28,"Today, we fondly remember Tony. We send our love and thoughts to his family, friends and the entire Zappos.com team. Thank you for teaching us the meaning of “delivering happiness” - you will be missed by so many. 💙",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-9/128365113_10157409049222687_6551898019820429315_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=8024bb&_nc_ohc=pBxLX4S72QUAX_5ky0Y&_nc_ht=scontent-iad3-1.xx&oh=f2a73f763d974381606968c391f8d998&oe=60DCE106'],Yes,,No,[],No
33,ASICSamerica_1606485609,2020-11-27,"With added support for women’s arches, the GEL-NIMBUS® 23 shoe is made to keep you running strong.",https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQGMp3XIXwernG2L&w=600&h=600&url=https%3A%2F%2Fsprcdn-assets.sprinklr.com%2F1171%2Fbb256716-4646-418c-a217-d9d61268db97-131953141.jpg&cfs=1&ccb=3-5&_nc_hash=AQF36ZbXcEx_eKhm,Yes,,No,[],No
34,ASICSamerica_1606238198,2020-11-24,"Congrats, runners! The 2020 ASICS World Ekiden is complete, and the afterparty is wherever you are. Celebrate this marathon achievement together by checking out our global leaderboard, race day highlights and global stats: https://asics.tv/2J6dyuj",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p180x540/127602913_3686071718112178_5711065938004420442_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=AYopFNW-InwAX-6eEIZ&_nc_ht=scontent-iad3-1.xx&tp=6&oh=e5f1e76d0dea0a313ec640f5b06d4e0d&oe=60DD1FAF'],Yes,,No,[],No
35,ASICSamerica_1605105730,2020-11-11,The 2020 ASICS World Ekiden has begun! Follow the leaderboard to see who is leading the pack: https://bit.ly/3n862xs,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p180x540/124832411_3649822308403786_4262063425142169185_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=rygYm12ZlBsAX-crLOD&_nc_ht=scontent-iad3-1.xx&tp=6&oh=669a44b5b3120412a97ba1dae7bbdecb&oe=60DCBA74'],Yes,,No,[],No
36,ASICSamerica_1603464402,2020-10-23,Looks good. Feels better. Cross the ASICS World Ekiden finish line in a pair of some of our favorite sneakers. ⬇️ ⬇️,https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQH_et8dHoAC68O_&w=600&h=600&url=https%3A%2F%2Fsprcdn-assets.sprinklr.com%2F1171%2F7a36b633-221e-4bb2-985d-7df7d5f9dbc2-576095961.jpg&cfs=1&ccb=3-5&_nc_hash=AQFbtraENhiOc0Ec,Yes,,No,[],No
37,ASICSamerica_1601663530,2020-10-02,"Runners, get ready. In the Japanese Ekiden, rival teams go head to head to run a marathon-distance relay—and now, you can too!
Start a team and get excited for the virtual 2020 ASICS World Ekiden. Registration is free: https://asics.tv/33nWUxA",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p180x540/120299914_3535745176478167_1971175715489227234_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=8Oj9yV912WkAX9Ty_d-&_nc_ht=scontent-iad3-1.xx&tp=6&oh=9447f182cd10fc55509412f954bece95&oe=60DC7F3F'],Yes,,No,[],No
38,ASICSamerica_1601553603,2020-10-01,"On your mark, teams: The ASICS World Ekiden 2020 is here! Discover a virtual relay race unlike any other. Click here to learn more: https://asics.tv/34bdz6V",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p180x540/120590996_3531478910238127_7940788343067924813_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=i1Uf2VNfj6oAX90kEZN&_nc_ht=scontent-iad3-1.xx&tp=6&oh=036863ef89d43e4b127d0c38fc16b49f&oe=60DDEE6E'],Yes,,No,[],No
39,ASICSamerica_1599657112,2020-09-09,For empowered women everywhere - the latest drop of THE NEW STRONG™ collection is here.,https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQFcRD2Jrb7SDa8B&w=600&h=600&url=https%3A%2F%2Fsprcdn-assets.sprinklr.com%2F1171%2F6c83fcd3-c7ac-4081-a3a7-285515b91f85-1418841165.jpg&cfs=1&ccb=3-5&_nc_hash=AQGOziyCqxKOFfca,Yes,,No,[],No
