,id,time,text,image_link,image_flag,video_link,video_flag,products,product_flag
31,SKECHERS_1616603950,2021-03-24,Details matter 👟🥰🖤 #BOBSfromSkechers #shoes #heart # #slipon #love,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p526x296/165067937_10157520484032587_5872612792563531534_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=GcqT34liB4wAX-opEMC&_nc_ht=scontent-iad3-1.xx&tp=6&oh=0924ee6d235c62efe7e45eb385f8b26f&oe=60DD4637'],Yes,,No,[],No
32,SKECHERS_1616515703,2021-03-23,Like yin and yang ☯️ ❤️🤍🖤#Skechers #comfort #style #fashion #streetstyle #SkechersStyle,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p526x296/162133003_10157518545942587_7356345970198892494_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=1DIx8w_rrXYAX8oVPI_&_nc_ht=scontent-iad3-1.xx&tp=6&oh=c5fecb44cab1c3f0408e03daf931a068&oe=60DBCF77'],Yes,,No,['https://www.facebook.com/commerce/products/3433385513378593/'],Yes
33,SKECHERS_1616442139,2021-03-22,A little chunk goes a long way 😍🙌🏼 #MarkNasonLosAngeles # #chunky #love #MarkNason,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p526x296/161662606_10157517078837587_2191377800257557261_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=fxCVIRiaC3EAX8b9LM3&_nc_ht=scontent-iad3-1.xx&tp=6&oh=278f9a1e1b1a445e415a6c7e191a261b&oe=60DE5401'],Yes,,No,[],No
34,SKECHERS_1616433745,2021-03-22,A little chunk goes a long way 😍🙌🏼 #MarkNason #sandals #chunky #love #MarkNasonLosAngeles #spring,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p480x480/161543039_10157516860002587_8293867145201956108_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=nXXde8OfQDoAX-XPTIM&_nc_ht=scontent-iad3-1.xx&tp=6&oh=9b901bb65a72f3575547b55167e5ed9c&oe=60DBA19D'],Yes,,No,[],No
35,SKECHERS_1616362859,2021-03-21,Pretty in orange! 😍✨🍊@broownmelanin 👟 #Skechers #powersuit #fashion #style #sneakers #streetstyle #SkechersStyle,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p180x540/162434268_10157515410307587_4178458647406491187_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=GNeWimytZ1QAX825kJv&_nc_ht=scontent-iad3-1.xx&tp=6&oh=1b2a05038b2ee3117190a9660617c874&oe=60DCA3B1'],Yes,,No,[],No
36,SKECHERS_1616256675,2021-03-20,Denim dreamin’ our way into sandal season! ☀️👖🌿👡 #Skechers #BobsfromSkechers #spring #wedge #sandals,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p526x296/162539041_10157512895557587_368376257380021847_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=69zWILefSskAX9RDDer&_nc_ht=scontent-iad3-1.xx&tp=6&oh=0b5885d5055ad351aebfda2ad9b67e67&oe=60DE1705'],Yes,,No,[],No
37,SKECHERS_1616170894,2021-03-19,Wild and free by the sea 🌊🐆 #Skechers #sandals #animalprint #spring #SkechersStyle,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/s526x395/161271719_10157510981932587_5509052537824116179_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=YIE8GKjyPwEAX-dkCni&_nc_oc=AQmGGJbdgEcse12lLgqnc_IOy41de2ZUYkvvzfD4Fg25tpeasCupRvOyVio-JJBWQzM&_nc_ht=scontent-iad3-1.xx&tp=7&oh=cc3648fbc12b77769f96612b62dd6ef5&oe=60DC2B91'],Yes,,No,[],No
38,SKECHERS_1616089108,2021-03-18,A collection built with sunshine in mind ☀️ 🌊 #BobsfromSkechers #sunshine #comfort #slipon #shoes,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p526x296/160307792_10157508964747587_3669974614554134655_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=wAflpKPbcJIAX9xI3o1&_nc_ht=scontent-iad3-1.xx&tp=6&oh=42ed5ad1b1a82eb023cc0079ae24eaab&oe=60DC0DF8'],Yes,,No,[],No
39,SKECHERS_1616004034,2021-03-17,"GIVEAWAY 💰 In honor of Happy St.Patricks day we are giving away a $100 gift card! 🍀🌈💰 Enter now by visiting our instagram post 😍👟🙌🏻
Enter contest by visiting to our Instagram post below:
https://www.instagram.com/p/CMh3ULlJlaj/...

See More",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p526x296/160088501_10157506753332587_1138731359002218577_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=rTjbld6kz10AX9bHd-2&_nc_ht=scontent-iad3-1.xx&tp=6&oh=c00c9e8aa701c87f8ea0e9ad37cb4ca1&oe=60DB6ED1'],Yes,,No,[],No
40,SKECHERS_1615918759,2021-03-16,"If ""almost Spring"" was an outfit 🌸😍 @djavo_nosi_pradu #Skechers #Springvibes #fashion #streetstyle #SkechersStyle",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p526x296/160219387_10157504981142587_4445306125081263902_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=uZkFIVzkfuQAX9I71Ed&_nc_ht=scontent-iad3-1.xx&tp=6&oh=85090acbda77d626a38c13ced6e61501&oe=60DD47B5'],Yes,,No,[],No
